userID;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Adam Batkin;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adam Berenzweig;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0
Adam Bermingham;0;0;0;0;0;0;0;0;0;low;low;0;0;0;0;0;0;0;0;0;0
Adam Bielski;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;avg;0;0
Adam Bjorndahl;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0
Adam Bosworth;low;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adam Bradley Setapen;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0
Adam Breuer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;avg
Adam Cannon;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adam Cheyer;0;0;0;0;0;0;low;low;0;0;0;0;0;0;0;0;0;0;0;0;0
Adam Christopher Earle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;low;0
Adam Clark;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0
Adam Clearwater;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0
Adam Coates;0;0;0;0;0;0;0;0;avg;0;0;low;0;low;0;0;avg;low;0;0;0
Adam Craig Pocock;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0
Adam Crespi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0
Adam Czajka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;avg;0
Adam Czezowski;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adam Czyzewski;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low
Adam D. Cobb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0
Adam D. Smith;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0
Adam D. Troy;0;0;0;0;0;0;0;low;0;0;0;0;low;0;0;0;0;0;low;0;0
Adam Dalton 0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;low
Adam Darlow;0;0;0;0;0;low;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adam Davies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0
Adam Dickinson;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0
Adam Drake;0;0;0;0;0;low;0;0;0;low;0;0;0;low;low;0;0;0;0;0;0
Adam Dziedzic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;low;low;0
Adam E. Gaweda;0;0;0;0;low;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adam Eck;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low
Adam Edwards;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0
